20160301070100000,127,127.0090,125.3574,127.61,1
20160301070200000,127.61,127.6159,126.1633,126.5,1
20160301070300000,126.5,126.5911,124.9296,127.3,1
20160301070400000,127.3,127.3472,126.0937,128.01,1
20160301070500000,128.01,128.1730,126.8199,128.22,1
20160301070600000,128.22,128.4317,126.4817,127.14,1
20160301070700000,127.14,127.3671,126.0340,126.08,1
20160301070800000,126.08,126.4220,124.8301,126.12,1
20160301070900000,126.12,126.8995,126.3921,126.15,1
20160301071000000,126.15,126.8498,125.7156,125.33,1
20160301071100000,125.33,125.6460,124.5615,125.62,1
20160301071200000,125.62,125.7156,124.5715,127.11,1
20160301071300000,127.11,127.1582,125.0689,127.72,1
20160301071400000,127.72,127.7154,126.8597,127.2876,1
20160301071500000,127.29,127.6855,126.6309,127.1781,1
20160301071600000,127.18,128.2228,126.8001,128.0138,1
20160301071700000,128.01,128.2725,126.7105,127.1085,1
